Title,Author,SE subject,Artist,Painting,Producer,Pub date,Rev date,Description
"Red House Mystery, The","Milne, A. A.",Fiction,Pieter Gerardus van Os,The Canal at ’s-Graveland,"Atkinson, Michael",2019-11-04,2019-11-04,An amateur sleuth visiting a country house solves the mystery of who shot the man in the locked room.
"Moon Pool, The","Merritt, A.",Science Fiction,Ralph Albert Blakelock,Brook by Moonlight,"Cabal, Alex",2016-09-30,2016-09-30,"A group of adventurers search for their friends, who were lost while exploring the otherworldly secrets of a monument discovered on a chain of island ruins."
"Wealth of Nations, The","Smith, Adam",Philosophy,Canaletto,The Bacino di San Marco from San Giorgio Maggiore,"Cabal, Alex",2021-10-05,2021-10-05,Adam Smith lays the foundation of classical economics.
Fables,Aesop,Shorts,Frans Snyders,The Fox Visiting the Heron,"Whittleton, Robin",2018-07-22,2018-07-22,Aesop’s classic Fables of behaviour and consequence.
Poirot Investigates,"Christie, Agatha",Shorts,Julian Alden Weir,The Letter,"Likar, Matic",2020-03-17,2020-03-17,Poirot and his companion Hastings investigate and solve a series of mysteries.
"Man in the Brown Suit, The","Christie, Agatha",Mystery,Georges-Victor Hugo,Victor Hugo descendant de son cabinet de travail à Hauteville House,"Atwood, Peter",2020-07-21,2020-07-21,Anne Beddingfeld travels to South Africa after finding a cryptic note beside the body of a man whose death she witnessed in the London Underground.
"Murder on the Links, The","Christie, Agatha",Mystery,Édouard Manet,The Brioche,"Cabal, Alex",2019-02-10,2019-02-10,The famous detective Poirot and his sidekick Hastings are summoned to France to investigate the mysterious murder of a rich businessman.
"Mysterious Affair at Styles, The","Christie, Agatha",Mystery,Jean-Étienne Liotard,Still Life: Tea Set,"Cabal, Alex",2014-05-25,2014-05-25,Hercule Poirot solves the mystery of a murder in an English country manor.
"Secret Adversary, The","Christie, Agatha",Mystery,Norman Wilkinson,The Adriatic at Cherbourg,"Cabal, Alex",2017-03-15,2017-03-15,"Tommy and Tuppence try to solve a mystery, only to find themselves embroiled in schemes of murder, millionaires, and diplomats."
"Jade God, The","Sullivan, Alan",Mystery,Edvard Munch,The Girl by the Window,"Bystricky, Lukas",2021-10-10,2021-10-10,"Two years after a mysterious murder, a brother and sister move into a countryside manor and begin to notice strange occurrences."
Antic Hay,"Huxley, Aldous",Fiction,Ferdinand Hodler,"James Vibert, Sculptor","Whittleton, Robin",2019-12-11,2019-12-11,A group of 1920s London socialites struggle with their futures.
Crome Yellow,"Huxley, Aldous",Satire,Cecilia C. Foster,View of the Long Gallery at Aston Hall,"Luke, James",2021-04-28,2021-04-28,A young writer travels to an English countryside manor to spend the summer alongside a cast of outlandish leisure class intellectuals.
Short Fiction,"Kuprin, Aleksandr",Shorts,Boris Grigoriev,The Harlot of Marseilles,"Whittleton, Robin",2021-10-11,2021-10-11,"A collection of Aleksandr Kuprin’s translated short stories, ordered by date of publication."
"Duel, The","Kuprin, Aleksandr",Fiction,Ilya Repin,Portrait of Jelizaveta Zvantseva,"Whittleton, Robin",2019-08-12,2019-08-12,A Russian officer battles disillusionment and unrequited love.
Yama,"Kuprin, Aleksandr",Fiction,Edvard Munch,Vampire,"Whittleton, Robin",2020-12-21,2020-12-21,An account of the lives of a group of prostitutes in a brothel in southern Russia.
"Federalist Papers, The",,Nonfiction,,Scene at the Signing of the Constitution of the United States,"Rice, Vince",2021-04-20,2021-04-20,Eighty-five articles written by a group of U.S. Founding Fathers on why the proposed U.S. Constitution should be approved.
Eugene Onegin,"Pushkin, Alexander",Poetry,Caspar David Friedrich,Two Men Contemplating the Moon,"Whittleton, Robin",2020-03-24,2020-03-24,A jaded Russian fop’s disdain for the world catches up with him.
"Black Tulip, The","Dumas, Alexandre",Fiction,Hans Bollongier,Floral Still Life,"Whittleton, Robin",2018-05-11,2018-05-11,An unjustly imprisoned man longs after both his love and his tulips.
"Count of Monte Cristo, The","Dumas, Alexandre",Fiction,Willem van de Velde the Younger,The Cannon Shot,"Rice, Vince",2021-02-11,2021-02-11,A man seeks revenge for having been falsely imprisoned years earlier.
"Three Musketeers, The","Dumas, Alexandre",Fiction,Rembrandt van Rijn,The Night Watch,"Atkinson, Michael",2019-12-09,2019-12-09,A young Gascon moves to Paris to join the King’s Musketeers where he starts to investigate the kidnapping of his landlord’s wife.
Idylls of the King,"Tennyson, Alfred",Poetry,Edmund Blair Leighton,God-Speed,"Cabal, Alex",2014-05-25,2014-05-25,Twelve poems detailing the adventures of Arthur’s round table.
Short Fiction,"Budrys, Algis",Shorts,Umberto Boccioni,The Strengths of a Street,"Cabal, Alex",2015-11-07,2015-11-07,Seven science fiction short stories by author Algis Budrys.
"Devil’s Dictionary, The","Bierce, Ambrose",Satire,Louis Candide Boulanger,La Ronde du Sabbat,"Mastracci, Matt",2021-03-16,2021-03-16,"A witty, sharp collection of sardonic word definitions from the 1800s and early 1900s that provide a snapshot into the irreverent humor of early American culture."
Penguin Island,"France, Anatole",Satire,Henry Stacy-Marks,Dominicans in Feathers,"Cheng, Weijia",2020-10-04,2020-10-04,"A myopic saint mistakenly baptizes some penguins, ushering in a centuries-spanning satire of French history."
Plague Ship,"Norton, Andre",Science Fiction,Luigi Russolo,Dynamism of an Automobile,"Gingras, Molly",2020-02-26,2020-02-26,"When the rest of their crew falls mysteriously ill after a trading mission, four low-ranking crew members must save their ship from being condemned to drift forever in permanent quarantine."
Star Born,"Norton, Andre",Science Fiction,Umberto Boccioni,Dinamismo Di Un Ciclista,"Grosse, Josh",2019-11-24,2019-11-24,Two human protagonists find themselves on opposite sides of an inter-species war.
Star Hunter,"Norton, Andre",Science Fiction,Umberto Boccioni,States of Mind: Those Who Go,"Flynn, Peter",2018-10-09,2018-10-09,"On the unexplored jungle world of Jumala the sole survivor of a spaceship crash is heir to a fortune, or has been made to believe so."
"Time Traders, The","Norton, Andre",Science Fiction,Franz Marc,Tierschicksale,"Chapman, Tucker",2020-06-26,2020-06-26,A young criminal volunteers for a government project at a secret base.
Voodoo Planet,"Norton, Andre",Science Fiction,Umberto Boccioni,Materia,"Flynn, Peter",2018-09-17,2018-09-17,Dane Thorson travels to the safari planet Khatka and encounters an evil witch doctor.
"Popular Schoolgirl, A","Brazil, Angela",Fiction,Pierre-Auguste Renoir,Luncheon of the Boating Party,"Whittleton, Robin",2019-11-28,2019-11-28,A schoolgirl navigates a difficult year after a new girl has inadvertently assumed her mantle.
"Sicilian Romance, A","Radcliffe, Ann",Fiction,Théodore Gericault,Evening: Landscape with an Aqueduct,"Laws, Samuel",2021-07-28,2021-07-28,Two beautiful sisters are forced to live under the control of their tyrannical nobleman father.
Black Beauty,"Sewell, Anna",Fiction,Anthony Oberman,Adriaan van der Hoop’s Trotter “De Vlugge” (The Fast One) in a Meadow,"Klappenbach, Laura",2019-11-27,2019-11-27,A memoir narrated by a horse whose idyllic time on an English farm prepares him for a life filled with constant change and varied circumstances.
"Tenant of Wildfell Hall, The","Brontë, Anne",Fiction,Kate Bisschop-Swift,Widow of a Painter,"Grigg, David",2020-02-18,2020-02-18,"When a mysterious young widow arrives in a small rural area, gossip blackens her name before her true story is eventually discovered by a male admirer."
Beowulf,Anonymous,Poetry,Knud Baade,Scene from the Era of Norwegian Sagas,"Sweeney, Emma",2019-12-01,2019-12-01,A hero is hired to kill a monster that has been plaguing the land.
"Nibelungenlied, The",Anonymous,Poetry,Peter Nicolai Arbo,Valkyrie,"Sweeney, Emma",2021-04-02,2021-04-02,"The epic poem that follows the legendary hero Siegfried on his adventures, his death, and his wife’s revenge."
"Prisoner of Zenda, The","Hope, Anthony",Fiction,Claude Lorrain,View of La Crescenza,"Keith, B. Timothy",2018-12-18,2018-12-18,"The tale of Rudolph Rassendyll, near twin of King Rudolph V of Ruritania, who, in order to save the day, must take the king’s place after he is drugged and abducted."
Barchester Towers,"Trollope, Anthony",Fiction,Benjamin Williams Leader,Worcester Cathedral,"Grigg, David",2018-02-02,2018-02-02,The affections of a young widow are at play while rival clerical factions contend for control over church matters in the cathedral city of Barchester.
Doctor Thorne,"Trollope, Anthony",Fiction,Samuel Luke Fildes,The Doctor,"Grigg, David",2021-09-19,2021-09-19,A provincial doctor struggles to assist his illegitimately-born niece in achieving a place in local society.
Framley Parsonage,"Trollope, Anthony",Fiction,John Buxton Knight,Pinner Street,"Grigg, David",2021-11-23,2021-11-23,A young vicar with an aristocratic patron foolishly becomes mired in debt.
"Warden, The","Trollope, Anthony",Fiction,Hubert von Herkomer,Last Muster,"Grigg, David",2018-01-17,2018-01-17,"In a cathedral town in England, a minor cleric becomes involved in a dispute about the wardenship of a hospital for superannuated wool-carders, and suffers pangs of conscience."
